Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,584.815796,585.148499,554.270264,559.127014,559.127014,2251971535
2021-11-23,559.570190,605.090454,559.041626,591.439575,591.439575,2927434189
2021-11-24,591.195557,594.830994,577.508362,581.395325,581.395325,2917418688
2021-11-25,590.356995,646.958801,587.859802,603.730225,603.730225,2537227998
2021-11-26,639.003601,657.512939,566.533142,585.147339,585.147339,4254504824
2021-11-27,587.103333,621.386658,584.794312,600.336792,600.336792,2485529516
2021-11-28,601.006409,612.737549,574.551270,611.366821,611.366821,2731676788
2021-11-29,611.762634,628.496887,602.442932,624.310059,624.310059,2425803182
2021-11-30,623.956970,635.129517,604.867615,622.669861,622.669861,2781531694
2021-12-01,621.812866,650.253174,619.197205,627.971558,627.971558,2806563703
2021-12-02,627.571838,629.884949,606.647827,619.470154,619.470154,2378758113
2021-12-03,620.299011,628.316345,579.845215,594.635986,594.635986,2483348354
2021-12-04,596.148682,596.148682,495.132263,569.077271,569.077271,4458419873
2021-12-05,568.651428,581.806580,543.635559,557.783081,557.783081,2394235567
2021-12-06,557.949768,593.383728,534.263672,589.256165,589.256165,3567503629
2021-12-07,589.110779,593.799255,573.338501,579.689880,579.689880,2112954675
2021-12-08,579.182678,607.780884,567.616211,607.592773,607.592773,2245501623
2021-12-09,606.635925,616.647339,568.039551,571.648987,571.648987,2132955304
2021-12-10,570.981018,594.597229,551.735840,552.966858,552.966858,2089946472
2021-12-11,553.671082,572.191528,542.565674,564.322510,564.322510,1824951693
2021-12-12,564.141418,574.185059,559.515259,570.823975,570.823975,1307635490
2021-12-13,571.177429,572.882385,511.998474,521.011597,521.011597,1900967743
2021-12-14,520.631714,536.297668,510.420776,511.229370,511.229370,2232411089
2021-12-15,528.428040,546.578125,503.037476,541.026978,541.026978,2079796859
2021-12-16,541.403809,545.151978,525.121643,526.246521,526.246521,1500825557
2021-12-17,526.148804,535.428284,511.700500,525.706299,525.706299,1804795681
2021-12-18,526.172363,537.818420,517.323853,533.891357,533.891357,1294574825
2021-12-19,534.018494,543.750793,527.772705,529.972046,529.972046,1199582659
